HCPCS_Cd,Num_Providers,Avg_Payment,Outlier_Providers
0064U,1,30.7,0
0124A,1,44.55,0
0134A,1,44.55,0
0240U,3,137.49381530333335,0
0241U,10,133.34681428599998,2
0250U,2,2857.9852664,0
0752T,5,0.00992523364,1
0753T,38,0.009064782668421053,0
0756T,2,0.0094827586,0
0757T,1,0.01,0
0760T,5,0.07213793104,1
0761T,1,0.01,0
0762T,3,0.21701149426666666,0
10005,81,77.62598762299382,0
10006,28,45.5469555575,0
10021,34,46.369279225617646,4
10060,2,105.260738635,0
11042,4,47.672338298999996,0
11043,1,131.3,0
11045,2,19.622491033,0
11046,1,45.893806228,0
11102,25,59.898674679159996,4
11103,17,38.03165282705883,3
11104,5,80.576860012,1
11105,1,45.26,0
11200,3,41.35198467433333,0
11300,3,54.89421717166667,0
11301,3,70.71210144933333,0
11302,2,94.1501666665,0
11305,1,60.237894737,0
11306,2,83.10191111099999,0
11310,2,70.98792483700001,0
11311,2,88.15630341849999,0
11401,1,111.29230769,0
11402,2,71.805769231,0
11403,2,102.845416665,0
11404,1,133.37333333,0
11602,3,105.29603099933333,0
11603,1,109.28576271,0
11604,1,124.02,0
11900,5,33.2219260016,0
11901,2,50.6693233085,0
12032,3,218.78342718,0
13101,1,280.37341176,0
13121,1,245.29384615,0
13131,1,162.2335,0
13132,1,189.53688372,0
13151,1,169.17,0
13152,1,198.6,0
17000,27,37.788316705629626,2
17003,25,4.290915703328,4
17004,11,122.45982112181818,0
17110,19,76.0947729408421,1
17111,3,92.01384550499999,0
17250,1,28.317938931,0
17260,1,52.703548387,0
17261,3,95.82161352666667,0
17262,3,114.87287644999999,0
17263,1,137.1846,0
17264,1,172.10142857,0
17271,2,97.81802857150001,0
17272,1,138.39571429,0
17273,1,155.37866667,0
17274,1,150.18157895,0
17280,2,85.789729437,0
17281,2,114.853356425,0
17282,2,139.91121528000002,0
17283,1,178.38818182,0
17311,1,521.0822792,0
17312,1,324.10853333,0
17313,1,481.00790698,0
19083,1,462.58,0
20550,1,20.920321199,0
20551,1,22.830468085,0
20553,1,46.152580645,0
36415,127,8.131541643552362,27
36512,18,80.1060601411111,0
36514,106,72.50104527800943,6
36522,13,76.84663922107691,1
36591,5,20.1082683982,2
36600,2,15.474962318100001,0
37799,1,16.95,0
38206,38,66.28440496744736,0
38221,2,82.9721875,0
38222,75,73.83002627615333,17
40808,2,105.2032996975,0
40810,1,145.21957447,0
40820,1,175.12529801,0
41100,1,127.04118644,0
41110,1,139.11863636,0
42100,1,82.641428571,0
42104,1,152.86133333,0
43239,3,63.67902319866667,0
45380,2,65.1767132865,0
45385,3,179.70233405666667,0
51798,1,6.7589705882,0
69100,1,59.347894737,0
71045,1,7.0095477387,0
71046,2,15.9650412087,0
74018,1,7.19,0
76098,235,12.701963871506383,6
76514,1,4.6827272727,0
76536,17,88.68237336435294,0
76641,1,37.823833333,0
76700,1,99.168153846,0
76775,1,52.95,0
76857,1,43.74,0
76942,1,53.33,0
76981,2,77.194625,0
76982,2,68.022470238,0
76983,2,44.569423128,0
77063,1,30.82,0
77065,1,32.14,0
77066,1,36.063043478,0
77067,1,38.18,0
77261,1,54.25,0
77280,2,196.695,0
77300,1,49.37,0
77332,1,28.788461538,0
77336,2,62.36,0
77401,2,29.725,0
77427,2,145.635,0
78306,1,29.364705882,0
78452,2,54.146028751,0
78582,1,38.57,0
78815,1,89.38,0
80047,6,13.353174603166666,1
80048,93,8.094380219351075,15
80051,22,6.819865352804545,5
80053,106,10.024184314413208,16
80061,75,12.543939745469334,14
80069,47,8.464943551955319,10
80074,13,46.68,0
80076,55,7.956366145985454,11
80156,1,12.960714286,0
80158,2,17.69,0
80162,5,12.812823529400001,1
80164,11,13.103260282545454,2
80169,1,13.46,0
80175,1,12.98,0
80177,3,12.979999999999999,0
80178,3,6.454592592600001,0
80180,1,17.69,0
80184,1,14.99,0
80185,3,12.979999999999999,0
80195,2,13.46,0
80197,5,13.407131457,0
80202,1,13.27,0
80305,4,12.11208333325,1
80307,11,54.759443928181824,2
80415,1,54.77,0
80503,209,17.142860385613396,11
80504,54,36.33777998017593,4
80505,15,69.46007007533333,0
80506,2,32.2970713115,0
81000,8,3.9392816635125,1
81001,74,3.0675653121135134,19
81002,5,3.41,0
81003,61,2.165100056893443,18
81007,1,29.38,0
81015,13,2.9342899831076923,2
81025,4,7.97259615385,1
81050,8,3.5669810289375,3
81162,2,1784.4122353,0
81206,10,160.11993750000002,2
81207,8,141.94,0
81208,7,210.33,0
81210,1,171.89,0
81219,9,118.23793421666667,0
81235,1,318.09,0
81245,1,162.2,0
81270,8,89.83,0
81275,1,189.38,0
81279,8,180.1087628825,0
81292,1,661.89,0
81295,1,374.07,0
81298,1,629.01,0
81307,1,662.97,0
81309,1,269.33,0
81311,1,289.87,0
81317,1,662.97,0
81338,8,146.77980170749998,2
81339,5,172.630729046,0
81342,1,197.47,0
81373,1,124.88,0
81382,1,67.31137931,0
81408,1,1960.0,0
81445,1,584.94840909,0
81450,1,739.46052817,0
81455,6,2859.2879828666664,1
81456,2,2850.0333984500003,0
81479,3,328.82403002999996,0
81513,24,130.2265113455,4
81514,4,255.91475317500002,0
81520,6,2441.1221096000004,0
82009,1,3.3041666667,0
82024,2,37.432142857,0
82040,26,4.844343446903846,5
82043,38,5.456395731689474,5
82044,1,6.11,0
82085,2,9.2182142857,0
82088,2,39.930612499999995,0
82103,8,13.14191365975,2
82104,2,14.17,0
82105,14,16.238462460642857,1
82140,4,14.276031746,1
82150,23,6.291889225434782,4
82164,2,13.712903226,0
82172,3,20.596545633999998,0
82232,9,15.823210110888889,2
82247,23,4.914261159091304,5
82248,33,4.902994471378788,4
82270,4,4.311193181825,1
82272,3,4.15,0
82274,8,15.296669645,2
82306,55,28.237852359363636,10
82310,40,5.0400198021875,10
82330,4,13.242530553,0
82340,4,5.87340253225,1
82360,1,12.61,0
82374,3,4.78,0
82375,2,12.044092746499999,0
82378,13,18.54614996853846,2
82384,1,24.74,0
82390,5,10.515342959,1
82397,1,13.839642857,0
82435,4,4.509774774775,1
82436,1,5.63,0
82465,11,4.260039882790909,2
82495,1,19.87,0
82507,1,27.24,0
82523,2,18.3090361445,0
82525,2,12.16,0
82530,1,16.379166667,0
82533,13,15.887733431769231,2
82542,1,23.61,0
82550,30,6.355662009403333,4
82552,1,13.12,0
82553,2,11.32,0
82565,82,4.902929233232927,10
82570,41,4.7686354878,7
82575,4,9.1836536881,0
82595,1,6.34,0
82607,48,14.450811287770833,6
82610,1,18.15,0
82627,9,21.74702222222222,1
82652,3,37.73,0
82653,3,22.480203532999997,0
82656,2,11.2891455985,0
82668,4,18.39568896225,0
82670,27,27.299809761148147,3
82679,1,24.45,0
82705,2,4.99509356015,0
82728,43,13.306975030674419,2
82746,37,14.367694715270272,7
82747,2,17.3,0
82784,19,9.026995824442105,1
82785,8,16.099228260874998,2
82803,3,24.347732371666666,0
82805,1,76.418634538,0
82945,1,3.85,0
82947,37,3.82430735592973,7
82950,1,4.65,0
82951,2,12.61,0
82955,1,9.51,0
82962,2,3.2124642857000003,0
82977,19,7.050617060168421,4
82985,2,16.281298610500002,0
83001,24,18.067082909750003,2
83002,22,18.095943381772727,5
83003,1,16.339375,0
83010,8,12.316143237,1
83013,4,64.10226979974999,1
83014,4,7.697776422775,1
83018,1,21.52,0
83020,157,13.20188673998089,1
83036,62,9.192747912935484,10
83050,2,8.0178855079,0
83090,8,17.508374804375,1
83516,6,11.263660239000002,1
83519,3,17.92990196066667,0
83520,6,16.476341475166667,1
83521,7,16.334356686285712,1
83525,8,11.113872222249999,2
83540,45,6.309517411591111,4
83550,41,8.538215120643903,3
83605,4,10.900208137475,1
83615,31,5.913411769416128,6
83630,3,19.31,0
83631,2,19.1557041075,0
83655,2,11.7889285715,0
83690,40,6.6733345307175,5
83695,3,14.006526806666665,0
83704,1,33.347901235,0
83718,7,8.030423030842856,2
83719,1,12.49,0
83721,16,9.91183932045,3
83735,64,6.442006632559375,11
83789,1,23.63,0
83835,2,16.6,0
83861,1,21.684460094,0
83880,32,38.1089500523125,5
