HCPCS_Cd,Rndrng_NPI,Avg_Mdcr_Pymt_Amt,IQR_Flag,ZScore_Flag,Outlier_Flag
0241U,1144273053,113.48,1,0,1
0241U,1326145061,101.74814286,1,0,1
0752T,1518073451,0.0096261682,1,0,1
0760T,1821119892,0.3206896552,1,0,1
10021,1205046851,77.97,1,0,1
10021,1679558043,93.254545455,1,1,1
10021,1699730457,30.171428571,1,0,1
10021,1871748327,35.499230769,1,0,1
11102,1316180508,21.885833333,1,0,1
11102,1528324753,18.975,1,0,1
11102,1881651008,21.853478261,1,0,1
11102,1962664896,20.755945946,1,0,1
11103,1043228083,44.415714286,1,0,1
11103,1063466621,31.047777778,1,0,1
11103,1760656169,45.485,1,0,1
11104,1043411168,20.86,1,0,1
17000,1033118328,56.584683099,1,0,1
17000,1760656169,55.317692308,1,0,1
17003,1316180508,1.4834545455,1,0,1
17003,1528324753,1.5787394958,1,0,1
17003,1881651008,1.5960273973,1,0,1
17003,1962664896,1.5785897436,1,0,1
17110,1881651008,51.96,1,0,1
36415,1023098928,8.18,1,0,1
36415,1063414357,5.8661145618,1,0,1
36415,1063576429,7.6129608247,1,0,1
36415,1073557583,8.0888888889,1,0,1
36415,1114084068,4.44816,1,1,1
36415,1114305232,7.3118562874,1,0,1
36415,1124049671,3.1282758621,1,1,1
36415,1144273053,7.658286114,1,0,1
36415,1306056064,8.1593838347,1,0,1
36415,1316054315,7.8049367089,1,0,1
36415,1326145061,7.2170115036,1,0,1
36415,1376591388,2.927,1,1,1
36415,1396711321,8.1645383212,1,0,1
36415,1417118886,5.7444,1,0,1
36415,1417923095,7.7818462289,1,0,1
36415,1437241304,5.6173846154,1,0,1
36415,1457326555,8.4671777476,1,0,1
36415,1598727232,8.0626771654,1,0,1
36415,1649479460,7.74,1,0,1
36415,1659574127,8.1633738192,1,0,1
36415,1730526161,8.041025641,1,0,1
36415,1780864579,8.1600278611,1,0,1
36415,1811087323,8.2508611111,1,0,1
36415,1811174824,7.5164479179,1,0,1
36415,1821021239,8.2477213695,1,0,1
36415,1851376115,7.7966,1,0,1
36415,1891998365,7.7438335704,1,0,1
36514,1013088343,85.452413793,1,0,1
36514,1336409887,84.678235294,1,0,1
36514,1376646695,59.08,1,0,1
36514,1417391038,84.67,1,0,1
36514,1477845790,85.5,1,0,1
36514,1659766160,84.67,1,0,1
36522,1548603269,65.347,1,0,1
36591,1730346875,18.032857143,1,0,1
36591,1811087323,21.038484848,1,0,1
38222,1033383351,141.45,1,0,1
38222,1043315922,122.82384615,1,0,1
38222,1083971618,157.88,1,0,1
38222,1265690226,133.3,1,0,1
38222,1306080262,90.7791853545,1,0,1
38222,1336466895,133.3,1,0,1
38222,1427314665,135.74,1,0,1
38222,1437440815,146.12,1,0,1
38222,1477730265,135.74,1,0,1
38222,1518022698,140.884,1,0,1
38222,1629121686,92.545,1,0,1
38222,1730245390,139.63809524,1,0,1
38222,1730610049,92.14,1,0,1
38222,1760655336,146.62,1,0,1
