Rndrng_NPI,Total_Payments,Avg_Payment,Num_Tests,Outlier_Flag
1003000134,428.9989718813,32.999920913946156,13,0
1003005257,253.6340280965,28.18155867738889,9,0
1003011396,404.1381841523,28.867013153735716,14,0
1003013814,408.0332563688,31.387173566830768,13,0
1003019860,554.8433853541,34.67771158463125,16,0
1003024613,242.1353143982,26.90392382202222,9,0
1003041849,116.856012603,23.3712025206,5,0
1003043167,517.2722596983,39.79017382294615,13,0
1003045063,1006.3818617649999,83.86515514708333,12,1
1003045808,266.148504932,38.02121499028571,7,0
1003050303,1190.444012766,39.6814670922,30,0
1003050691,473.5696629452,43.05178754047272,11,0
1003051269,393.67228153295,35.78838923026819,11,1
1003053901,375.0981927006,37.50981927006,10,0
1003057316,21.743636364,21.743636364,1,0
1003063397,605.0904108479,33.61613393599444,18,0
1003064700,658.3236591221,34.648613638005266,19,0
1003067661,484.9564138079,26.94202298932778,18,1
1003070061,287.995484531,47.99924742183333,6,0
1003071135,60.072251867,15.01806296675,4,0
1003072000,487.122238547,60.890279818375,8,1
1003072489,695.6364541595,34.781822707974996,20,0
1003074485,370.2969513508,26.449782239342856,14,0
1003075920,462.391400386,42.035581853272724,11,1
1003076142,157.67563170055,19.70945396256875,8,0
1003079989,371.1068828742,30.92557357285,12,1
1003080763,184.9998914494,26.428555921342856,7,0
1003080797,746.1867501532,35.53270238824762,21,0
1003091661,148.2322919166,24.705381986099997,6,0
1003093014,468.8914736695,39.07428947245833,12,1
1003093535,518.3855082590001,23.562977648136368,22,0
1003102377,458.955949756,28.68474685975,16,0
1003102674,96.416583333,96.416583333,1,0
1003104357,338.26619163099997,37.58513240344444,9,0
1003107756,251.16690089029998,35.88098584147143,7,0
1003121310,892.5034344148,37.18764310061667,24,0
1003126327,44.76,44.76,1,0
1003128752,389.3819050145,32.44849208454166,12,0
1003130832,310.394633318,44.342090473999995,7,0
1003131038,139.5157272763,17.4394659095375,8,0
1003132663,289.8339384943,26.348539863118184,11,0
1003134107,92.034477655,23.00861941375,4,1
1003134313,111.864255319,55.9321276595,2,0
1003143033,347.47812274800003,69.49562454960001,5,1
