Rndrng_Prvdr_State_Abrvtn,Total_Payments,Num_Providers,Outliers
AK,7139.134285173,14,138
AL,61570.28620591625,166,313
AR,46362.06910708775,124,172
AZ,107530.10878067194,209,537
CA,522055.1094763488,1131,2722
CO,66270.94358701615,164,118
CT,65027.47340262975,197,169
DC,20039.3004257337,56,32
DE,17285.7941013081,29,77
FL,329238.77320035273,698,915
GA,116684.29119633495,282,446
GU,206.61707270879998,1,0
HI,17791.7688664318,44,98
IA,52539.0165737765,117,124
ID,9283.0627711616,18,32
IL,216213.8599523668,514,307
IN,75114.71574274875,188,75
KS,45632.9820162849,97,179
KY,60373.0404441457,154,93
LA,55152.02507819405,158,106
MA,196070.7494322872,532,346
MD,101660.76969762734,251,326
ME,18071.8012218339,47,3
MI,149019.60395179814,431,230
MN,108351.92230425145,328,182
MO,92033.500414025,242,180
MS,32911.2267360249,76,116
MT,13605.0295471561,27,8
NC,120725.71250009615,311,337
ND,14256.54131584375,33,37
NE,34589.79462900325,80,135
NH,22246.2190936234,66,20
NJ,131326.14076590486,261,481
NM,18076.3279929901,65,36
NV,18563.1842397993,55,37
NY,360104.7499927286,961,1035
OH,195029.51231802526,496,332
OK,33957.40404138275,81,129
OR,48436.71145211155,126,201
PA,219609.38168461455,589,333
PR,8696.53521583895,53,89
RI,14435.92189649785,58,11
SC,67848.02641928475,152,125
SD,12236.06516597885,24,6
TN,159587.48052128666,318,843
TX,335324.6952100593,971,793
UT,40419.1742931077,102,139
VA,102239.8027849463,214,182
VT,12789.7387385407,48,9
WA,107224.8878999922,250,361
WI,90868.2143894664,265,158
WV,22230.14104553015,64,28
WY,2343.92017561555,9,12
ZZ,1773.3925734313,5,0
